"restaurant_name","place_id"
"Dishoom Kensington","ChIJv_uo9_YPdkgRq2K1F6d_5-g"
"Yatri Indian Restaurant","ChIJh4aKmUMbdkgRju0etBmZeI0"
"Tajmahal Indian cuisine","ChIJ0V3O-NsbdkgRnzn7BrhEQUM"
"Cafe Tiffin","ChIJR20FiVAbdkgRKZ1lWrcvPgg"
"Masala King","ChIJSVNMwPEbdkgR9ezXiFfZ69c"
"Turmeric Kitchen - Paddington","ChIJdaiSZNwbdkgR6v7V6W2Qzqo"
"Memories of India Kensington","ChIJW1e5NFkFdkgRw_1wF5RLuTY"
"Spice Bombay Bees (حلال) THE BUMBLE BEES CO","ChIJkd6matkbdkgRNRBDxVBC6aM"
"Cinnamon Tree Indian","ChIJ96E0gkUbdkgRsQibouiC1VM"
"Little India","ChIJNX_my14FdkgR3UQM1m1m_X4"
"The Tamil Prince","ChIJf-CNm5gbdkgRM5-J1EaYN4w"
"Indian Lounge","ChIJVyO6SzkbdkgRLmmlQydVDzY"
"Indian Veg","ChIJU2FpzUMbdkgR66gSDIr4Ofs"
"Memsaab Indian Restaurant, Islington","ChIJkZEf_W0bdkgRHNOtIqF_EHY"
"Didar Restaurant","ChIJEW2itWwbdkgRU-mR_UbShLc"
"Hidden Kitchen- Islington","ChIJcW2yj1cbdkgR5p6ulUdGpZA"
"The Mughal's Indian Restaurant (Fitzrovia)","ChIJDRaMc3YbdkgROmV5ziP4R7Q"
"Tamila","ChIJQck0K8UbdkgRtQECmxfLGHA"
"Mowgli Street Food Charlotte Street","ChIJJ0LMfbkbdkgR7-O1oXrduP0"
"Kings Cross Tandoori","ChIJn_prSjkbdkgRm_YIvH6iSJk"
"Masala Essence Indian Restaurant","ChIJK5-APQsbdkgReKrZg2vHESI"
"Taste of India Euston","ChIJ11icSiYbdkgRbJIVv1S5J5Q"
"Angel Curry Centre","ChIJF3esS0IbdkgRfgk7HfrfaoI"
"Colonel Saab High Holborn","ChIJnVf83AIbdkgR054D55weEBY"
"Chettinad Restaurant","ChIJFRIWQywbdkgRLJfGOhhZwac"
"Agra","ChIJRWUdBCwbdkgRH7ltYhkqHR8"
"THE BUMBLE BEES (حلال)","ChIJP2rmSb0bdkgRd7Gj1aRXDLo"
"Holy Cow - Fine Indian Food - Indian Takeaway in Angel, London","ChIJmT-vMkIbdkgRCn_J5qkZL7M"
"Zaffrani","ChIJC1oa3WYbdkgR52uq2KJoSf8"
"Bombay Corner - Indian Street Food","ChIJW5oUtYwddkgRaMcjhoudYQQ"
"Saffron","ChIJaz50Qx4bdkgRRm_LFkueZPU"
"ZOYA Grill & Lounge","ChIJbwbmpi8bdkgRluDw3B1Snv4"
"Camden Tandoori","ChIJnytWMRwbdkgRxzBKx-3qJQA"
"Taste of India","ChIJ9URdoGEbdkgRp3U3k0qZ054"
"Drummond Villa","ChIJX3-CRiYbdkgRU_P1DGkM1lg"
"The Spice","ChIJ5czsbgAbdkgR1v1S3Xs_8vE"
"The India - City Road","ChIJVYzv03EddkgR73xEvFfZ5AI"
"Bengal Tiger","ChIJpResIm8ddkgRDjOFV-_tGno"
"1947 London","ChIJE9ol8ysbdkgR-PpAYMncFHU"
"Masakali London","ChIJS-qAuzcbdkgRFRfgbDZBxuQ"
